full_name,vacancy,email,contact_number,keywords
Ana Beatriz Souza,Senior QA Lead,ana.beatriz.souza@email.com,(11) 98765-4321,"Empatia; Liderança; Comunicação"
Carlos Eduardo Lima,Software Engineer,carlos.eduardo.lima@email.com,(21) 12345-6789,"Inovação; Tecnologia; Criatividade"
Fernanda Martins Rocha,Junior Account Assistant,fernanda.martins.rocha@email.com,(31) 55555-1234,"Resiliência; Estratégia; Organização"
Rodrigo Silva Santos,Payroll Administrator,rodrigo.silva.santos@email.com,(41) 87654-3210,"Analítico; Dedicado; Proativo"
Juliana Moraes Pereira,Sales Representative,juliana.moraes.pereira@email.com,(51) 23456-7890,"Colaborativa; Adaptável; Visionária"
Marcos Vinícius Oliveira,Senior QA Lead,marcos.vinicius.oliveira@email.com,(61) 98765-4321,"Motivação; Liderança; Engajamento"
Sofia Carvalho Almeida,Senior Support Specialist,sofia.carvalho.almeida@email.com,(71) 12345-6789,"Criativa; Comunicativa; Inovadora"
Bruno Henrique Figueiredo,Software Engineer,bruno.henrique.figueiredo@email.com,(81) 55555-1234,"Estratégico; Analítico; Responsável"
Gabriela Ribeiro Gonçalves,Senior QA Lead,gabriela.ribeiro.goncalves@email.com,(91) 87654-3210,"Empática; Organizada; Líder"
Felipe Araújo Costa,Software Engineer,felipe.araujo.costa@email.com,(12) 23456-7890,"Tecnológico; Inovador; Dedicado"
Larissa Ferreira Barbosa,Junior Account Assistant,larissa.ferreira.barbosa@email.com,(13) 98765-4321,"Comunicativa; Colaborativa; Adaptável"
Thiago Gomes Andrade,Payroll Administrator,thiago.gomes.andrade@email.com,(14) 12345-6789,"Motivado; Proativo; Visionário"
Isabela Fonseca Moura,Sales Representative,isabela.fonseca.moura@email.com,(15) 55555-1234,"Criativa; Estratégica; Engajada"
Rafael Dias Carvalho,Senior QA Lead,rafael.dias.carvalho@email.com,(16) 87654-3210,"Analítico; Responsável; Tecnológico"
Patricia Lima Nogueira,Senior Support Specialist,patricia.lima.nogueira@email.com,(17) 23456-7890,"Liderança; Empatia; Organização"
João Pedro Teixeira,Software Engineer,joao.pedro.teixeira@email.com,(18) 98765-4321,"Inovador; Dedicado; Comunicativo"
Camila Pinto Machado,Senior QA Lead,camila.pinto.machado@email.com,(19) 12345-6789,"Adaptável; Colaborativa; Motivada"
Lucas Alves Souza,Software Engineer,lucas.alves.souza@email.com,(20) 55555-1234,"Estratégico; Líder; Proativo"
Beatriz Amaral Santos,Junior Account Assistant,beatriz.amaral.santos@email.com,(22) 87654-3210,"Criativa; Comunicativa;Empática"
Henrique Duarte Pinheiro,Payroll Administrator,henrique.duarte.pinheiro@email.com,(24) 23456-7890,"Tecnológico; Analítico;Visionário"
